"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 10 06:58:24 GMT 2024","Wed Apr 10 06:58:25 GMT 2024","803","tests","test_search","","","","From the home page, search by text only","This is a description for this test."
"passed","Wed Apr 10 06:58:51 GMT 2024","Wed Apr 10 06:58:52 GMT 2024","1269","tests","test_search","","","","From the home page, search by text and category","This is a description for this test."
"passed","Wed Apr 10 06:58:26 GMT 2024","Wed Apr 10 06:58:27 GMT 2024","876","tests","test_search","","","","From the home page, search by text only","This is a description for this test."
"passed","Wed Apr 10 06:59:01 GMT 2024","Wed Apr 10 06:59:02 GMT 2024","1398","tests","test_search","","","","From the home page, search by text and category","This is a description for this test."
"passed","Wed Apr 10 06:58:40 GMT 2024","Wed Apr 10 06:58:42 GMT 2024","1599","tests","test_search","","","","From the home page, search by category only","This is a description for this test."
"passed","Wed Apr 10 06:58:53 GMT 2024","Wed Apr 10 06:58:55 GMT 2024","1300","tests","test_search","","","","From the home page, search by text and category","This is a description for this test."
"passed","Wed Apr 10 06:58:30 GMT 2024","Wed Apr 10 06:58:31 GMT 2024","847","tests","test_search","","","","From the home page, search by text only","This is a description for this test."
"passed","Wed Apr 10 06:58:20 GMT 2024","Wed Apr 10 06:58:21 GMT 2024","1148","tests","test_search","","","","From the home page, search by text only","This is a description for this test."
"passed","Wed Apr 10 06:58:38 GMT 2024","Wed Apr 10 06:58:39 GMT 2024","1588","tests","test_search","","","","From the home page, search by category only","This is a description for this test."
"passed","Wed Apr 10 06:58:43 GMT 2024","Wed Apr 10 06:58:45 GMT 2024","1448","tests","test_search","","","","From the home page, search by category only","This is a description for this test."
"passed","Wed Apr 10 06:58:56 GMT 2024","Wed Apr 10 06:58:57 GMT 2024","1292","tests","test_search","","","","From the home page, search by text and category","This is a description for this test."
"passed","Wed Apr 10 06:58:58 GMT 2024","Wed Apr 10 06:59:00 GMT 2024","1252","tests","test_search","","","","From the home page, search by text and category","This is a description for this test."
"passed","Wed Apr 10 06:58:22 GMT 2024","Wed Apr 10 06:58:23 GMT 2024","873","tests","test_search","","","","From the home page, search by text only","This is a description for this test."
"passed","Wed Apr 10 06:58:35 GMT 2024","Wed Apr 10 06:58:36 GMT 2024","1594","tests","test_search","","","","From the home page, search by category only","This is a description for this test."
"passed","Wed Apr 10 06:58:46 GMT 2024","Wed Apr 10 06:58:47 GMT 2024","1579","tests","test_search","","","","From the home page, search by category only","This is a description for this test."
"passed","Wed Apr 10 06:58:32 GMT 2024","Wed Apr 10 06:58:34 GMT 2024","1649","tests","test_search","","","","From the home page, search by category only","This is a description for this test."
"passed","Wed Apr 10 06:58:48 GMT 2024","Wed Apr 10 06:58:50 GMT 2024","1233","tests","test_search","","","","From the home page, search by text and category","This is a description for this test."
"passed","Wed Apr 10 06:58:28 GMT 2024","Wed Apr 10 06:58:29 GMT 2024","812","tests","test_search","","","","From the home page, search by text only","This is a description for this test."
